"Kod";"Nazwa";"ścieżki rowerowe (drogi dla rowerów) ogółem;2020;[km]";
2008000;"Powiat moniecki";8,6;
2009000;"Powiat sejneński";16,1;
2010000;"Powiat siemiatycki";34,3;
2011000;"Powiat sokólski";12,1;
2012000;"Powiat suwalski";29,0;
2013000;"Powiat wysokomazowiecki";28,0;
2014000;"Powiat zambrowski";15,2;
2061000;"Powiat m.Białystok";158,9;
2062000;"Powiat m.Łomża";36,4;
2063000;"Powiat m.Suwałki";95,3;
2201000;"Powiat bytowski";50,4;
2202000;"Powiat chojnicki";196,0;
2203000;"Powiat człuchowski";47,6;
2204000;"Powiat gdański";90,0;
2205000;"Powiat kartuski";105,3;
2206000;"Powiat kościerski";35,5;
2207000;"Powiat kwidzyński";62,6;
2208000;"Powiat lęborski";54,9;
2209000;"Powiat malborski";58,3;
2210000;"Powiat nowodworski";19,2;
2211000;"Powiat pucki";116,4;
2212000;"Powiat słupski";87,3;
2213000;"Powiat starogardzki";67,3;
2214000;"Powiat tczewski";43,3;
2215000;"Powiat wejherowski";73,3;
2216000;"Powiat sztumski";29,5;
2261000;"Powiat m.Gdańsk";203,0;
2262000;"Powiat m.Gdynia";68,4;
2263000;"Powiat m.Słupsk";48,7;
2264000;"Powiat m.Sopot";22,3;
2401000;"Powiat będziński";52,9;
2402000;"Powiat bielski";26,8;
2403000;"Powiat cieszyński";30,8;
2404000;"Powiat częstochowski";45,1;
2405000;"Powiat gliwicki";17,1;
2406000;"Powiat kłobucki";7,8;
2407000;"Powiat lubliniecki";82,4;
2408000;"Powiat mikołowski";4,1;
2409000;"Powiat myszkowski";18,6;
2410000;"Powiat pszczyński";23,5;
2411000;"Powiat raciborski";54,6;
2412000;"Powiat rybnicki";2,7;
2413000;"Powiat tarnogórski";15,6;
2414000;"Powiat bieruńsko-lędziński";38,0;
2415000;"Powiat wodzisławski";18,1;
2416000;"Powiat zawierciański";40,5;
2417000;"Powiat żywiecki";13,1;
2461000;"Powiat m.Bielsko-Biała";34,5;
2462000;"Powiat m.Bytom";29,6;
2463000;"Powiat m.Chorzów";30,8;
2464000;"Powiat m.Częstochowa";85,0;
2465000;"Powiat m.Dąbrowa Górnicza";41,0;
2466000;"Powiat m.Gliwice";48,5;
2467000;"Powiat m.Jastrzębie-Zdrój";29,6;
2468000;"Powiat m.Jaworzno";29,7;
2469000;"Powiat m.Katowice";92,6;
2470000;"Powiat m.Mysłowice";2,3;
2471000;"Powiat m.Piekary Śląskie";9,5;
2472000;"Powiat m.Ruda Śląska";32,3;
2473000;"Powiat m.Rybnik";28,4;
2474000;"Powiat m.Siemianowice Śląskie";33,8;
2475000;"Powiat m.Sosnowiec";50,0;
2476000;"Powiat m.Świętochłowice";10,5;
2477000;"Powiat m.Tychy";67,0;
2478000;"Powiat m.Zabrze";25,6;
2479000;"Powiat m.Żory";22,5;
2601000;"Powiat buski";17,1;
2602000;"Powiat jędrzejowski";17,3;
2603000;"Powiat kazimierski";12,2;
2604000;"Powiat kielecki";90,6;
2605000;"Powiat konecki";38,4;
2606000;"Powiat opatowski";19,5;
2607000;"Powiat ostrowiecki";73,0;
2608000;"Powiat pińczowski";6,2;
2609000;"Powiat sandomierski";15,6;
2610000;"Powiat skarżyski";3,5;
