"Kod";"Nazwa";"ludność na 1 km2;2020;[osoba]";
2478000;"Powiat m.Zabrze";2126;
2479000;"Powiat m.Żory";972;
2601000;"Powiat buski";73;
2602000;"Powiat jędrzejowski";68;
2603000;"Powiat kazimierski";79;
2604000;"Powiat kielecki";94;
2605000;"Powiat konecki";69;
2606000;"Powiat opatowski";57;
2607000;"Powiat ostrowiecki";175;
2608000;"Powiat pińczowski";63;
2609000;"Powiat sandomierski";113;
2610000;"Powiat skarżyski";185;
2611000;"Powiat starachowicki";169;
2612000;"Powiat staszowski";77;
2613000;"Powiat włoszczowski";49;
2661000;"Powiat m.Kielce";1764;
2801000;"Powiat bartoszycki";43;
2802000;"Powiat braniewski";34;
2803000;"Powiat działdowski";68;
2804000;"Powiat elbląski";40;
2805000;"Powiat ełcki";82;
2806000;"Powiat giżycki";50;
2807000;"Powiat iławski";67;
2808000;"Powiat kętrzyński";51;
2809000;"Powiat lidzbarski";44;
2810000;"Powiat mrągowski";46;
2811000;"Powiat nidzicki";34;
2812000;"Powiat nowomiejski";63;
2813000;"Powiat olecki";39;
2814000;"Powiat olsztyński";45;
2815000;"Powiat ostródzki";59;
2816000;"Powiat piski";31;
2817000;"Powiat szczycieński";36;
2818000;"Powiat gołdapski";34;
2819000;"Powiat węgorzewski";32;
2861000;"Powiat m.Elbląg";1486;
2862000;"Powiat m.Olsztyn";1939;
3001000;"Powiat chodzieski";68;
3002000;"Powiat czarnkowsko-trzcianecki";48;
3003000;"Powiat gnieźnieński";116;
3004000;"Powiat gostyński";93;
3005000;"Powiat grodziski";81;
3006000;"Powiat jarociński";122;
3007000;"Powiat kaliski";71;
3008000;"Powiat kępiński";93;
3009000;"Powiat kolski";85;
3010000;"Powiat koniński";82;
3011000;"Powiat kościański";109;
3012000;"Powiat krotoszyński";108;
3013000;"Powiat leszczyński";72;
3014000;"Powiat międzychodzki";50;
3015000;"Powiat nowotomyski";75;
3016000;"Powiat obornicki";84;
3017000;"Powiat ostrowski";139;
3018000;"Powiat ostrzeszowski";72;
3019000;"Powiat pilski";107;
3020000;"Powiat pleszewski";88;
3021000;"Powiat poznański";214;
3022000;"Powiat rawicki";109;
3023000;"Powiat słupecki";70;
3024000;"Powiat szamotulski";82;
3025000;"Powiat średzki";95;
3026000;"Powiat śremski";107;
3027000;"Powiat turecki";90;
3028000;"Powiat wągrowiecki";67;
3029000;"Powiat wolsztyński";84;
3030000;"Powiat wrzesiński";111;
3031000;"Powiat złotowski";42;
3061000;"Powiat m.Kalisz";1428;
3062000;"Powiat m.Konin";881;
