"Kod";"Nazwa";"ogółem;2020;[zł]";
2477000;"Powiat m.Tychy";5269,32;
2478000;"Powiat m.Zabrze";5232,59;
2479000;"Powiat m.Żory";4781,16;
2601000;"Powiat buski";4375,49;
2602000;"Powiat jędrzejowski";4969,29;
2603000;"Powiat kazimierski";4235,96;
2604000;"Powiat kielecki";4355,66;
2605000;"Powiat konecki";4481,58;
2606000;"Powiat opatowski";4269,94;
2607000;"Powiat ostrowiecki";4448,08;
2608000;"Powiat pińczowski";4445,79;
2609000;"Powiat sandomierski";4966,33;
2610000;"Powiat skarżyski";4758,09;
2611000;"Powiat starachowicki";4690,70;
2612000;"Powiat staszowski";4825,77;
2613000;"Powiat włoszczowski";4722,28;
2661000;"Powiat m.Kielce";5218,61;
2801000;"Powiat bartoszycki";4589,11;
2802000;"Powiat braniewski";4460,29;
2803000;"Powiat działdowski";4145,80;
2804000;"Powiat elbląski";4268,29;
2805000;"Powiat ełcki";4364,74;
2806000;"Powiat giżycki";4515,13;
2807000;"Powiat iławski";4219,71;
2808000;"Powiat kętrzyński";4560,67;
2809000;"Powiat lidzbarski";4356,34;
2810000;"Powiat mrągowski";4311,00;
2811000;"Powiat nidzicki";4207,91;
2812000;"Powiat nowomiejski";3971,83;
2813000;"Powiat olecki";4438,76;
2814000;"Powiat olsztyński";4823,92;
2815000;"Powiat ostródzki";4440,69;
2816000;"Powiat piski";4633,18;
2817000;"Powiat szczycieński";4523,23;
2818000;"Powiat gołdapski";4227,65;
2819000;"Powiat węgorzewski";4314,62;
2861000;"Powiat m.Elbląg";4952,59;
2862000;"Powiat m.Olsztyn";5438,71;
3001000;"Powiat chodzieski";4550,77;
3002000;"Powiat czarnkowsko-trzcianecki";4869,30;
3003000;"Powiat gnieźnieński";4658,83;
3004000;"Powiat gostyński";4698,58;
3005000;"Powiat grodziski";4433,04;
3006000;"Powiat jarociński";4193,08;
3007000;"Powiat kaliski";4195,22;
3008000;"Powiat kępiński";3872,06;
3009000;"Powiat kolski";4895,57;
3010000;"Powiat koniński";4184,77;
3011000;"Powiat kościański";4582,74;
3012000;"Powiat krotoszyński";4020,71;
3013000;"Powiat leszczyński";4953,38;
3014000;"Powiat międzychodzki";4519,70;
3015000;"Powiat nowotomyski";4807,23;
3016000;"Powiat obornicki";4854,35;
3017000;"Powiat ostrowski";4542,09;
3018000;"Powiat ostrzeszowski";4488,82;
3019000;"Powiat pilski";4928,72;
3020000;"Powiat pleszewski";4471,48;
3021000;"Powiat poznański";4776,27;
3022000;"Powiat rawicki";4357,75;
3023000;"Powiat słupecki";4690,36;
3024000;"Powiat szamotulski";5274,57;
3025000;"Powiat średzki";5004,44;
3026000;"Powiat śremski";4480,42;
3027000;"Powiat turecki";4266,25;
3028000;"Powiat wągrowiecki";4491,29;
3029000;"Powiat wolsztyński";4489,74;
3030000;"Powiat wrzesiński";4779,96;
3031000;"Powiat złotowski";4041,17;
3061000;"Powiat m.Kalisz";4718,01;
3062000;"Powiat m.Konin";4858,06;
3063000;"Powiat m.Leszno";4824,14;
3064000;"Powiat m.Poznań";6104,97;
3201000;"Powiat białogardzki";4672,61;
3202000;"Powiat choszczeński";4599,57;
3203000;"Powiat drawski";4416,33;
3204000;"Powiat goleniowski";5102,94;
3205000;"Powiat gryficki";4388,97;
3206000;"Powiat gryfiński";4898,41;
3207000;"Powiat kamieński";4304,58;
3208000;"Powiat kołobrzeski";4575,02;
3209000;"Powiat koszaliński";4616,89;
3210000;"Powiat myśliborski";4503,53;
3211000;"Powiat policki";5535,45;
3212000;"Powiat pyrzycki";4428,81;
3213000;"Powiat sławieński";4350,66;
3214000;"Powiat stargardzki";4750,37;
3215000;"Powiat szczecinecki";4827,82;
3216000;"Powiat świdwiński";4339,70;
3217000;"Powiat wałecki";4678,73;
3218000;"Powiat łobeski";4713,45;
3261000;"Powiat m.Koszalin";4973,23;
3262000;"Powiat m.Szczecin";5695,84;
3263000;"Powiat m.Świnoujście";5517,68;
